Temps avec 4 coeur(s) et des vecteurs de 400000000 termes
Addition de deux vecteurs, Somme des termes d'un vecteur, Produit d'un vecteur par un scalaire
6348016460,253170718,778821108
741158357,207493695,628629077
705371861,217475294,625037361
711593538,209209221,628695282
694399529,207782335,608328644
717954351,206988277,593696643
735956463,207266795,575256043
662242438,206866344,572740107
666917764,215945375,578322220
665087063,207492782,567048328
Moyenne : 
1264869782.4,213969083.6,615657481.3
