Temps en non parallélisé avec des vecteurs de 100000000 termes,,
Addition de deux vecteurs, Somme des termes d'un vecteur, Produit d'un vecteur par un scalaire
672531390,230423676,534046536
645517385,230119906,632129522
651194880,230167448,594660627
609772951,230847744,591849658
606987735,230269091,590871239
609818925,231083956,592391244
608759647,230284482,591959771
610063319,230519177,595462234
610187952,230700233,595490161
609998165,230029707,593579679
Moyenne : ,,
"623483234,9",230444542,"591244067,1"
